Fluid,Mass Flow (kg/s),Pressure (bar),Temperature (K),Type
Cool_1,0.39854165579997136,-11.456989382432608,283.1500021916264,Coolant
Cool_12,3.4216615755702136,5.7,433.15,Coolant
Cool_13,3.4216615755702136,5.681713222665475,433.15,Coolant
Cool_14,3.222390747670228,5.681713222665475,433.15,Coolant
Cool_15,3.222390747670228,5.670746678427615,433.15,Coolant
Cool_16,2.697807955166953,5.670746678427615,433.15,Coolant
Cool_17,0.5245827925032748,5.670746678427615,433.15,Coolant
Cool_18,0.5245827925032748,5.670485402358509,433.15,Coolant
Cool_19,0.39854165579997136,4.7,433.15,Coolant
Cool_1_keep,0.07807990858669969,-11.456989382432608,283.1500021916264,Coolant
Cool_2,0.07807990858669969,-11.4570240178126,183.1500021916264,Coolant
Cool_20,0.19927082789998568,296.0417250742554,433.15,Coolant
Cool_20_new,0.39854165579997136,4.698507548327349,283.15,Coolant
Cool_21,0.19927082789998568,52.289671498626376,433.15,Coolant
Cool_22,0.39854165579997136,52.289671498626376,433.15,Coolant
Cool_23,0.5245827925032748,5.670485402358509,406.2025645830386,Coolant
Cool_23_prime,0.5245827925032748,5.670229542566442,406.2025311610213,Coolant
Cool_24,3.222390747670228,5.658626454797613,427.0717687309775,Coolant
Cool_24_Out,0.5245827925032748,5.669975662419463,395.8128313330052,Coolant
Cool_24_prime,2.697807955166953,5.656419626466646,433.15,Coolant
Cool_25,3.2614307019635778,5.658626454797613,424.1519861239701,Coolant
Cool_25_out,3.2614307019635778,5.654236682968432,424.1519861239701,Coolant
Cool_26,3.2614307019635778,5.654236682968432,424.1519861239701,Coolant
Cool_26_out,3.2614307019635778,5.64984691113925,424.1519861239701,Coolant
Cool_27,3.2614307019635778,5.7,424.1519861239701,Coolant
Cool_27_out,3.2614307019635778,5.693258564690901,424.1519861239701,Coolant
Cool_3,0.07807990858669969,-14.40226187948248,183.15048885811373,Coolant
Cool_4,0.039039954293349846,-14.40226187948248,183.15048885811373,Coolant
Cool_5,0.039039954293349846,-21.812860370135727,183.1506676456905,Coolant
H2_1,0.03944,7.0,29.01419169411262,H2
H2_10,0.005,1.6882199909201552,413.1471823338809,H2
H2_11,0.02944,6.989848649823055,413.1483379630464,H2
H2_12,0.02944,6.987923732209867,413.148192919188,H2
H2_13,0.005278957862819947,6.987923732209867,413.148192919188,H2
H2_14,0.005278957862819947,6.987862820616239,413.14764740656045,H2
H2_15,0.005278957862819947,34.939314103081195,413.14764740656045,H2
H2_16,0.005278957862819947,34.93930218625268,413.14712197925076,H2
H2_17,0.02944,13.0,413.14712197925076,H2
H2_18,0.024161042137180053,6.985919113591639,413.14792987335045,H2
H2_19,0.02944,12.999324164728032,413.14702758331293,H2
H2_2,0.03944,6.999982694093159,29.01770257358377,H2
H2_20,0.02944,12.0,413.14702758331293,H2
H2_20_copy,0.01472,12.0,413.14702758331293,H2
H2_21,0.01472,11.9939758084699,413.14693071944544,H2
H2_22,0.0005,1.74,433.15,H2
H2_23,0.0005,1.7014588063456606,433.14746812311415,H2
H2_24,0.005,1.8,433.14746812311415,H2
H2_25,0.005,-0.5902588389901817,433.14721493422803,H2
H2_26,0.024161042137180053,6.987923732209867,413.148192919188,H2
H2_3,0.03944,6.999932332767598,49.01417701072138,H2
H2_4,0.03944,6.999773186850866,49.01538873571073,H2
H2_5,0.03944,6.999000287261905,413.15,H2
H2_6,0.03944,6.989848649823055,413.1483379630464,H2
H2_7,0.01,6.989848649823055,413.1483379630464,H2
H2_8,0.01,6.80194768244589,413.1477850946673,H2
H2_8_copy,0.005,6.80194768244589,413.1477850946673,H2
H2_9,0.01,1.8,413.1477850946673,H2
H2_9_copy,0.005,1.8,413.1477850946673,H2
H2_Test,0.03944,7.0,29.01419169411262,H2
Air_1,0.45,1.01325,288.15,Other
Air_2,0.45,1.01325,433.15,Other
Air_3,0.45,1.8,353.0,Other
Air_FC_Exit,0.45,1.8,433.15,Other
Coolant Out,0.5245827925032748,5.670229542566442,395.81286193925746,Other
FuelCellCoolantGeneric,3.4216615755702136,5.7,433.15,Other
Water_4,0.05,1.8,353.0,Other
Water_5,0.0425,1.74,353.0,Other
Water_6,0.0425,13.678875,353.0,Other
Water_FC_Exit,0.05,1.8,433.15,Other
